Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
[transformers] The following generation flags are not valid and may be ignored: ['output_hidden_states']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights:   0%|          | 0/272 [00:00<?, ?it/s]Loading weights:  74%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u258d  | 202/272 [00:00<00:00, 2019.99it/s]Loading weights: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 272/272 [00:00<00:00, 2097.76it/s]
SmolLM2-135M loaded + hidden 抽出 3.9s  文数=20 平均seq=13.6 dim=576
[H-multimodal] 実 CE 地形(seed0)の theta 空間 basin 数 = 40 (>1 で多峰。単峰なら capability さらに立たず=計画予告)
  seed 1/20: held-out fitness(=-CE) rand=-1.258 grad=-1.286 grad+=-1.282 ME=-1.229 ME+gate=-1.285
  seed 2/20: held-out fitness(=-CE) rand=-1.276 grad=-1.283 grad+=-1.292 ME=-1.237 ME+gate=-1.299
  seed 3/20: held-out fitness(=-CE) rand=-1.467 grad=-1.478 grad+=-1.477 ME=-1.442 ME+gate=-1.476
  seed 4/20: held-out fitness(=-CE) rand=-1.618 grad=-1.622 grad+=-1.620 ME=-1.613 ME+gate=-1.621
  seed 5/20: held-out fitness(=-CE) rand=-1.456 grad=-1.460 grad+=-1.468 ME=-1.442 ME+gate=-1.466
  seed 6/20: held-out fitness(=-CE) rand=-1.622 grad=-1.624 grad+=-1.623 ME=-1.619 ME+gate=-1.623
  seed 7/20: held-out fitness(=-CE) rand=-1.459 grad=-1.474 grad+=-1.468 ME=-1.441 ME+gate=-1.470
  seed 8/20: held-out fitness(=-CE) rand=-1.464 grad=-1.475 grad+=-1.472 ME=-1.443 ME+gate=-1.471
